experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.01,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.1,0.01,,0,200,0.27586206896551724,species_recall
16.01,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.1,0.01,,0,200,0.3103448275862069,species_recall
16.01,multiclass,Logistic Regression,"(56, 1722)",100,1,4,0.1,0.01,,0,200,0.1724137931034483,species_recall
16.01,multiclass,Logistic Regression,"(56, 1338)",100,1,6,0.1,0.01,,0,200,0.20689655172413793,species_recall
16.01,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.1,0.01,,0,200,0.20689655172413793,species_recall
16.01,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.1,0.01,,0,200,0.20689655172413793,species_recall
16.01,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.1,0.01,,0,200,0.1724137931034483,species_recall
16.01,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.1,0.01,,0,200,0.37777777777777777,species_recall
16.01,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.1,0.01,,0,200,0.4185185185185185,species_recall
16.01,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.1,0.01,,0,200,0.37777777777777777,species_recall
16.01,multiclass,Logistic Regression,"(546, 10714)",100,10,6,0.1,0.01,,0,200,0.3,species_recall
16.01,multiclass,Logistic Regression,"(546, 9328)",100,10,8,0.1,0.01,,0,200,0.2962962962962963,species_recall
16.01,multiclass,Logistic Regression,"(546, 7885)",100,10,10,0.1,0.01,,0,200,0.2222222222222222,species_recall
16.01,multiclass,Logistic Regression,"(546, 6317)",100,10,12,0.1,0.01,,0,200,0.25555555555555554,species_recall
16.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.1,0.01,,0,200,0.18347599553405286,species_recall
16.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.1,0.01,,0,200,0.17826572385560105,species_recall
16.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.1,0.01,,0,200,0.7357647934499442,species_recall
16.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.1,0.01,,0,200,0.6892445106066245,species_recall
16.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.1,0.01,,0,200,0.653516933382955,species_recall
16.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.1,0.01,,0,200,0.637513956084853,species_recall
16.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.1,0.01,,0,200,0.6315593598809081,species_recall
16.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.1,0.01,,0,200,0.17138072199478974,species_recall
16.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.1,0.01,,0,200,0.17473018235950874,species_recall
16.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.1,0.01,,0,200,0.8900260513583923,species_recall
