experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,l2_penalty,score,score type
6.01,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.01,0.01,1,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.01,0.01,10,0.2413793103448276,species_recall
6.01,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.01,0.01,100,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.01,0.01,0.1,0.1724137931034483,species_recall
6.01,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.01,0.01,1,0.3103448275862069,species_recall
6.01,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.01,0.01,10,0.27586206896551724,species_recall
6.01,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.01,0.01,100,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.01,0.01,0.1,0.3103448275862069,species_recall
6.01,multiclass,Logistic Regression,"(56, 1722)",100,1,4,0.01,0.01,1,0.1724137931034483,species_recall
6.01,multiclass,Logistic Regression,"(56, 1722)",100,1,4,0.01,0.01,10,0.1724137931034483,species_recall
6.01,multiclass,Logistic Regression,"(56, 1722)",100,1,4,0.01,0.01,100,0.1724137931034483,species_recall
6.01,multiclass,Logistic Regression,"(56, 1722)",100,1,4,0.01,0.01,0.1,0.13793103448275862,species_recall
6.01,multiclass,Logistic Regression,"(56, 1338)",100,1,6,0.01,0.01,1,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 1338)",100,1,6,0.01,0.01,10,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 1338)",100,1,6,0.01,0.01,100,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 1338)",100,1,6,0.01,0.01,0.1,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.01,0.01,1,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.01,0.01,10,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.01,0.01,100,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.01,0.01,0.1,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.01,0.01,1,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.01,0.01,10,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.01,0.01,100,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.01,0.01,0.1,0.20689655172413793,species_recall
6.01,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.01,0.01,1,0.1724137931034483,species_recall
6.01,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.01,0.01,10,0.1724137931034483,species_recall
6.01,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.01,0.01,100,0.1724137931034483,species_recall
6.01,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.01,0.01,0.1,0.1724137931034483,species_recall
6.01,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.01,0.01,1,0.42962962962962964,species_recall
6.01,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.01,0.01,10,0.27037037037037037,species_recall
6.01,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.01,0.01,100,0.26296296296296295,species_recall
6.01,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.01,0.01,0.1,0.4,species_recall
6.01,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.01,0.01,1,0.43333333333333335,species_recall
6.01,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.01,0.01,10,0.4,species_recall
6.01,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.01,0.01,100,0.3814814814814815,species_recall
6.01,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.01,0.01,0.1,0.43333333333333335,species_recall
6.01,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.01,0.01,1,0.34814814814814815,species_recall
6.01,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.01,0.01,10,0.337037037037037,species_recall
6.01,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.01,0.01,100,0.22962962962962963,species_recall
6.01,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.01,0.01,0.1,0.337037037037037,species_recall
6.01,multiclass,Logistic Regression,"(546, 10714)",100,10,6,0.01,0.01,1,0.2962962962962963,species_recall
6.01,multiclass,Logistic Regression,"(546, 10714)",100,10,6,0.01,0.01,10,0.31851851851851853,species_recall
6.01,multiclass,Logistic Regression,"(546, 10714)",100,10,6,0.01,0.01,100,0.25555555555555554,species_recall
6.01,multiclass,Logistic Regression,"(546, 10714)",100,10,6,0.01,0.01,0.1,0.3,species_recall
6.01,multiclass,Logistic Regression,"(546, 9328)",100,10,8,0.01,0.01,1,0.3,species_recall
6.01,multiclass,Logistic Regression,"(546, 9328)",100,10,8,0.01,0.01,10,0.26296296296296295,species_recall
6.01,multiclass,Logistic Regression,"(546, 9328)",100,10,8,0.01,0.01,100,0.23333333333333334,species_recall
6.01,multiclass,Logistic Regression,"(546, 9328)",100,10,8,0.01,0.01,0.1,0.3,species_recall
6.01,multiclass,Logistic Regression,"(546, 7885)",100,10,10,0.01,0.01,1,0.21851851851851853,species_recall
6.01,multiclass,Logistic Regression,"(546, 7885)",100,10,10,0.01,0.01,10,0.21851851851851853,species_recall
6.01,multiclass,Logistic Regression,"(546, 7885)",100,10,10,0.01,0.01,100,0.2074074074074074,species_recall
6.01,multiclass,Logistic Regression,"(546, 7885)",100,10,10,0.01,0.01,0.1,0.21851851851851853,species_recall
6.01,multiclass,Logistic Regression,"(546, 6317)",100,10,12,0.01,0.01,1,0.25555555555555554,species_recall
6.01,multiclass,Logistic Regression,"(546, 6317)",100,10,12,0.01,0.01,10,0.2518518518518518,species_recall
6.01,multiclass,Logistic Regression,"(546, 6317)",100,10,12,0.01,0.01,100,0.21481481481481482,species_recall
6.01,multiclass,Logistic Regression,"(546, 6317)",100,10,12,0.01,0.01,0.1,0.25555555555555554,species_recall
6.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.01,0.01,1,0.22553033122441385,species_recall
6.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.01,0.01,10,0.23111276516561222,species_recall
6.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.01,0.01,100,0.18347599553405286,species_recall
6.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.01,0.01,0.1,0.25790844808336433,species_recall
6.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,1,0.40863416449572015,species_recall
6.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,10,0.3048008931894306,species_recall
6.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,100,0.30703386676590994,species_recall
6.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,0.1,0.48455526609601784,species_recall
6.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,1,0.634164495720134,species_recall
6.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,10,0.28061034611090435,species_recall
6.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,100,0.39709713435057686,species_recall
6.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,0.1,0.7357647934499442,species_recall
6.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,1,0.570152586527726,species_recall
6.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,10,0.22776330480089318,species_recall
6.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,100,0.2374395236323037,species_recall
6.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,0.1,0.6873836992928917,species_recall
6.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,1,0.6267212504652029,species_recall
6.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,10,0.3435057685150726,species_recall
6.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,100,0.2180870859694827,species_recall
6.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,0.1,0.6587272050614068,species_recall
6.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,1,0.5094901377000373,species_recall
6.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,10,0.2214365463342017,species_recall
6.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,100,0.21994789728321548,species_recall
6.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,0.1,0.6404912541868255,species_recall
6.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,1,0.38407145515444735,species_recall
6.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,10,0.23669519910681058,species_recall
6.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,100,0.23669519910681058,species_recall
6.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,0.1,0.6315593598809081,species_recall
6.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,1,0.17138072199478974,species_recall
6.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,10,0.17138072199478974,species_recall
6.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,100,0.17138072199478974,species_recall
6.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,0.1,0.17138072199478974,species_recall
6.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,1,0.2984741347227391,species_recall
6.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,10,0.32620022329735765,species_recall
6.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,100,0.27540007443245257,species_recall
6.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,0.1,0.4652028284331969,species_recall
6.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,1,0.6451432824711574,species_recall
6.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,10,0.30163751395608485,species_recall
6.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,100,0.41868254558987716,species_recall
6.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,0.1,0.8930033494603647,species_recall
6.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,1,0.684964644585039,species_recall
6.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,10,0.2407889839970227,species_recall
6.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,100,0.25195385187941943,species_recall
6.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,0.1,0.8693710457759584,species_recall
6.01,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.01,0.01,1,0.7677707480461481,species_recall
6.01,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.01,0.01,10,0.2407889839970227,species_recall
6.01,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.01,0.01,100,0.2407889839970227,species_recall
